plain_urdu,poetic_urdu
مجھے کتاب پڑھنا پسند ہے۔,شوقِ مطالعہ ہے، رُوح کو غذا ہے۔
مجھے کتابیں پڑھنا بہت پسند ہے۔,دل میرا علم کی خوشبو سے مہکتا ہے۔
مجھے کتابیں پڑھنا پسند ہے,شوقِ مطالعہ میری روح کو تسکین دیتا ہے
مجھے کتابیں پڑھنا پسند ہے۔,شوق ہے مجھ کو مطالعہ کتب کا۔
مجھے موسیقی سننا اچھا لگتا ہے۔,مجھ کو مرغوب ہے نغمہ، ساز کی دلکش صدا۔
مچھلی تیر رہی ہے۔,مچھلی تیر رہی ہے۔
محبت ایک خوبصورت احساس ہے۔,محبت اک نازک احساس ہے جاناں
محبت خدا ہے۔,عشق ہی تو خدا ہے
محبت زندگی ہے۔,محبت جانِ جہاں ہے۔
محبت سب سے بڑی طاقت ہے۔,عشق اعظم قوت ہے۔
محبّت سے پیش آؤ,پیار سے ملو
محبت کرو۔,سب سے محبت کرو
محمد صلی اللہ علیہ وسلم اللہ کے آخری نبی ہیں۔,محمد مصطفیٰ خاتم النبیین ہیں۔
محنت رنگ لاتی ہے۔,محنت لاتی ہے رنگ اپنا۔
محنت سے قسمت بدلتی ہے۔,محنت سے قسمت بدلتی ہے۔
محنت کامیابی کی ضمانت ہے۔,سعیِ پیہم سے مقدر سنورتا ہے۔
محنت کامیابی کی کنجی ہے,سعی پیہم سے کھلتے ہیں درِ کامرانی
محنت کامیابی کی کنجی ہے۔,جفا کشی سے کھلتے ہیں کامرانی کے در
محنت کامیابی کی کنجی ہے۔,سعی پیہم سے کامرانی ملتی ہے۔
محنت کامیابی کی کنجی ہے۔,سعی پیہم سے ہے فتح، عیاں ہر کام میں۔
محنت کامیابی کی کنجی ہے۔,سعی پیہم ہے فلاح کی ضامن۔
محنت کامیابی کی کنجی ہے۔,عزم و ہمت سے کھلتے ہیں بابِ مراد۔
محنت کامیابی کی کنجی ہے۔,کوشش سے کھلتے ہیں کامیابی کے در۔
محنت کامیابی کی کنجی ہے۔,کوشش کیجیے کامیابی آپ کی منتظر ہے۔
محنت کامیابی کی کنجی ہے۔,محنت سے کھلتے ہیں قسمت کے در۔
محنت کامیابی کی کنجی ہے۔,محنت کی راہوں میں ہے کامرانی
محنت کامیابی کی کنجی ہے۔,محنت ہے وہ کنجی، جو کھولے بابِ مراد۔
محنت کامیابی کی کنجی ہے۔,عزم و ہمت سے کھلتے ہیں کامرانی کے در
محنت کامیابی کی کنجی ہے۔,سعی پیہم ہے کلیدِ فتح اے جواں ہمت۔
محنت کامیابی کی کنجی ہے۔,کوشش سے کامیابی کا در کھلتا ہے۔
محنت کامیابی کی کنجی ہے۔,سعی پیہم سے کھلتے ہیں درِ مراد۔
محنت کامیابی کی کنجی ہے۔,سعی پیہم ہے کلیدِ کامرانی۔
محنت کامیابی کی کنجی ہے۔,کامیابی کا راز ہے محنت پیہم۔
محنت کامیابی کی کنجی ہے۔,سعی طریقِ کامرانی ہے۔
محنت کامیابی کی کنجی ہے۔,مشقت سے کھلتے ہیں بابِ مراد۔
محنت کامیابی کی کنجی ہے۔,مشقت ہے کلیدِ فتح و کامرانی۔
محنت کرو۔,کوشش پیہم جاری رکھو
محنت کرو۔,محنت سے کامیابی ملتی ہے
محنتی بنو۔,محنت میں عظمت ہے
مدد کرو۔,دست تعاون بڑھاؤ
مدد کرو۔,دستِ تعاون بڑھاؤ۔
مدد کرو۔,مدد کرنے سے خوشی ملتی ہے
مددگار بنو۔,دوسروں کی مدد کرو
مرغ بانگ دے رہا ہے۔,مرغ بانگ دے رہا ہے۔
مریض ڈاکٹر کے پاس گیا,گیا مریض طبیب کے پاس، شفا کی آس ہے اسے
مریضوں کی عیادت کرو۔,مریضوں کی عیادت کرنا سنت ہے
مسافروں کی مدد کرو۔,مسافروں کی اعانت کرو۔
مسافروں کی مدد کرو۔,مسافروں کی مدد کرو، یہ ہے خدمتِ خلق۔
مسافروں کی مدد کرو۔,مسافروں کی رہنمائی کرو
مستقبل کا خیال رکھو۔,آنے والی نسلوں کے لیے بہتر مستقبل بناؤ
مسجد پاکیزہ ہے۔,مسجد پاکیزہ ہے۔
مسکراؤ اور دنیا کو مسکراؤ۔,تبسم کرو اور جہاں کو ہنساؤ۔
مسکراؤ۔,لبوں پر مسکراہٹ سجاؤ
مسکراتے رہو,لبوں پر تبسم سجائے رکھو
مسکرانا ایک سنت ہے۔,مسکرانا دلوں کو جوڑتا ہے
مشکل وقت میں مدد کرو۔,مصیبت کے وقت میں لوگوں کی مدد کرو
مصالحت کرو۔,لڑائی جھگڑے ختم کرو
مضبوط بنو۔,مضبوط ارادے کے مالک بنو
معاف کر دو۔,درگزر کرو
معاف کر دو۔,درگزر کرو۔
معاف کرنا ایک عظیم عمل ہے۔,معاف کرنا ہے عمل عظیم۔
معاف کرنا سیکھو۔,معاف کرنے سے دل صاف ہوتا ہے
معاف کرنا سیکھو۔,معاف کرنا سیکھو، یہ ہے دل کی پاکیزگی۔
مکڑی جال بن رہی ہے۔,مکڑی جال بن رہی ہے۔
مکھی بھنبھنا رہی ہے۔,مکھی بھنبھنا رہی ہے۔
مگرمچھ خطرناک ہے۔,مگرمچھ خطرناک ہے۔
ملک سے پیار کرو۔,وطن سے پیار کرو، یہ ہے حب الوطنی۔
مندر مقدس ہے۔,مندر مقدس ہے۔
منفی مت سوچو۔,منفی سوچنے سے ناکامی ملتی ہے
مہربان بنو۔,سب کے ساتھ مہربانی سے پیش آؤ
مہمان نوازی کرو۔,خاطر مدارات کرو۔
مہمانوں کی خدمت کرو,مہمان نوازی شعار بناؤ
مہمانوں کی خدمت کرو۔,مہمانوں کی خدمت کرو، یہ ہے ہماری روایت۔
موت ایک حقیقت ہے۔,موت سے کسی کو مفر نہیں
موت ایک حقیقت ہے۔,موت ہے اک حقیقت اٹل۔
موت برحق ہے۔,موت اٹل حقیقت ہے۔
موت برحق ہے۔,موت ایک اٹل حقیقت ہے
موت برحق ہے۔,موت یقینی ہے۔
موت سے مت ڈرو۔,مرگ سے خائف نہ ہو۔
موت سے مت ڈرو۔,موت ایک حقیقت ہے
موسم ابر آلود ہے۔,موسم ابر آلود ہے۔
موسم بہار میں ہر طرف ہریالی ہوتی ہے۔,فصلِ بہاراں میں ہر سو ہے سبزہ زار۔
موسم خوشگوار ہے۔,موسم سہانا ہے۔
موسیقی روح کو سکون بخشتی ہے۔,نغمہ، روح کی گہرائیوں میں اتر کر سکون دینا
موسیقی روح کی غذا ہے۔,موسیقی ہے غذا روح کی۔
موسیقی روح کی غذا ہے۔,موسیقی روح کو تسکین دیتی ہے
موہنجودڑو ایک قدیم شہر تھا۔,موہنجودڑو ہے قدیم شہر، تاریخ کی کہانی ہے تو
میرا گھر شہر سے دور ہے۔,میرا کاشانہ ہے شہر سے پرے، گوشۂ تنہائی۔
مینارِ پاکستان ایک تاریخی یادگار ہے۔,مینارِ پاکستان ہے علامت، آزادی کی نشانی ہے تو
میں آج بہت خوش ہوں۔,دل مسرت سے میرا باغ و بہار ہے۔
میں اچھا ہوں۔,میں اچھا ہوں۔
میں اداس ہوں۔,میں ملول ہوں۔
میں امید کرتا ہوں۔,میں امید کرتا ہوں۔
میں امیر ہوں۔,میں امیر ہوں۔
میں اوپر ہوں۔,میں اوپر ہوں۔
میں ایک سیکنڈ ہوں۔,میں ایک لمحہ ہوں۔
میں ایک منٹ ہوں۔,میں ایک دقیقہ ہوں۔
میں ایک ہوں۔,میں واحد ہوں۔
میں بازار جا رہا ہوں۔,سوئے بازار رواں ہوں، جستجو ہے دل کو۔
میں پانی پی رہا ہوں۔,میں نوش کر رہا ہوں آب۔
میں پیر ہوں۔,میں روزِ دوشنبہ ہوں۔
میں تیز ہوں۔,میں تیز ہوں۔
میں جاگ رہا ہوں۔,میں بیدار ہوں۔
میں جانتا ہوں۔,میں جانتا ہوں۔
میں چائے پی رہا ہوں,لبوں سے لگ رہی ہے چائے کی شیرینی
میں چائے پی رہا ہوں۔,لبوں سے چھو رہی ہے چائے کی گرمی، کیا لذت ہے۔
میں حیران ہوں۔,میں ششدر ہوں۔
میں خریدتا ہوں۔,میں خریدتا ہوں۔
میں خط لکھ رہا ہوں,قلم نے یادوں کا سفر لکھا ہے
میں خوش ہوں۔,میں خوش ہوں۔
میں خوش ہوں۔,میں مسرور ہوں۔
میں دائیں ہوں۔,میں دائیں ہوں۔
میں دیتا ہوں۔,میں دیتا ہوں۔
میں دیکھتا ہوں۔,میں دیکھتا ہوں۔
میں ڈاکٹر ہوں۔,میں طبیب ہوں۔
میں ڈرا ہوا ہوں۔,میں خائف ہوں۔
میں سوچ رہا ہوں,خیالوں کی دنیا میں گم ہوں
میں سیکھ رہا ہوں,علم کی پیاس بجھا رہا ہوں
میں صبح ہوں۔,میں صبح ہوں۔
میں صحت مند ہوں۔,میں صحت مند ہوں۔
میں طاقتور ہوں۔,میں طاقتور ہوں۔
میں غصے میں ہوں۔,میں برہم ہوں۔
میں کام کر رہا ہوں,محنت کی خوشبو پسینے میں بسی ہے
میں کتاب پڑھ رہا ہوں۔,محو ہوں میں مطالعے میں اپنے۔
میں کر سکتا ہوں۔,میں کر سکتا ہوں۔
میں کل بازار جاؤں گا۔,کل سوئے بازار، رختِ سفر باندھوں گا۔
میں کھانا کھا رہا ہوں۔,میں تناول کر رہا ہوں۔
میں کھانا کھا رہا ہوں۔,میں دسترخوان پر لقمہ زن ہوں۔
میں محبت کرتا ہوں۔,میں پیار کرتا ہوں۔
میں مصروف ہوں۔,میں مصروف ہوں۔
میں یاد کرتا ہوں۔,میں یاد کرتا ہوں۔
میں یہاں ہوں۔,میں یہاں ہوں۔
نتیجہ اچھا ہوگا۔,امید ہے کہ نتیجہ ہو گا بہتر
نخلستان سرسبز ہے۔,نخلستان سرسبز ہے۔
نرمی سے بات کرو,شیریں زبانی سے پیش آؤ
نعمتوں کی قدر کرنی چاہیے۔,نعمتوں کی قدر کرنی چاہیے۔
نفرت بری چیز ہے۔,نفرت سے دوری بڑھتی ہے
نفرت موت ہے۔,نفرت سمِ قاتل ہے۔
نماز پڑھنا فرض ہے۔,نماز ادا کرنا فرض ہے۔
نماز پڑھو۔,نماز قائم کرو
نوکری تلاش کرو۔,روزگار کی تلاش کرو
نیا سیکھو۔,نئی چیزیں سیکھو
ہاتھی چل رہا ہے۔,ہاتھی چل رہا ہے۔
ہاکی پاکستان کا قومی کھیل ہے۔,ہاکی ہے قومی کھیل ہمارا، پہچان ہماری ہے تو
ہرن بھاگ رہا ہے۔,ہرن بھاگ رہا ہے۔
ہڑپہ ایک قدیم تہذیب کا مرکز تھا۔,ہڑپہ ہے قدیم تہذیب کا مرکز، تاریخ کی کہانی ہے تو
ہسپتال جدید ہے۔,ہسپتال جدید ہے۔
ہم پاکستان میں رہتے ہیں۔,ہم ہیں اہلِ وطن اس گلشن کے۔
ہم چائے پی رہے ہیں,ہم رفاقت کی مٹھاس گھول رہے ہیں
ہم دعا کر رہے ہیں,امید کی کرن روشن ہے
ہم دوست ہیں۔,ہم ہیں رفیق، ایک جان دو قالب
ہم سب ایک ہیں۔,ہم سب ایک انسانیت کا حصہ ہیں
ہم سب ایک ہیں۔,ہم سب ایک ہیں
ہم سب برابر ہیں,سب ہیں برابر یہاں کوئی نہیں کم تر
ہم سفر کر رہے ہیں۔,ہم رواں دواں ہیں۔
ہم سیر کر رہے ہیں,فطرت کی آغوش میں پناہ لے رہے ہیں
ہم فلم دیکھ رہے ہیں,خوابوں کی دنیا میں کھوئے ہوئے ہیں
ہم فلم دیکھ رہے ہیں۔,ہم نظارہ کر رہے ہیں فلم کا۔
ہم کل سیر کے لیے جائیں گے۔,کل روانہ ہوں گے ہم، سوئے گلزارِ جہاں۔
ہم کل سیر کے لیے جائیں گے۔,کل بزمِ سیر سجائیں گے، دل کو بہلائیں گے۔
ہم کھانا کھا رہے ہیں۔,دستِ کرم سے کھاتے ہیں ہم لقمہ۔
ہمسایوں کا خیال رکھو۔,ہمسایوں کا خیال رکھنا انسانیت ہے
ہمیشہ مثبت سوچو,ہمیشہ امید کا دامن تھامے رہو
ہمیشہ مثبت سوچو۔,ہمیشہ پہلوئے خیر سوچو۔
ہمیشہ مسکراتے رہو۔,لبوں پہ رکھو تبسم، یہ ہے زندگی کا گُل۔
ہمیں اپنے وطن سے پیار ہے۔,وطن سے الفت ہے ہمیں۔
ہمیں ایماندار ہونا چاہیے۔,ہمیں صادق ہونا چاہیے۔
ہمیں دوسروں کی مدد کرنی چاہیے,خلقِ خدا کی خدمت عین عبادت ہے
ہمیں دوسروں کی مدد کرنی چاہیے۔,دستگیری کرو، یہی ہے انسانیت کا دین۔
ہمیں سچ بولنا چاہیے,ہمیشہ سچ کا دامن تھامے رہو
ہمیں محنت کرنی چاہیے,جُہد پیہم سے ہے کامرانی اپنی
ہمیں محنت کرنی چاہیے۔,سعی پیہم سے ہی، منزلیں ملتی ہیں۔
ہمیں ہمیشہ سچ بولنا چاہیے۔,سچ کی راہ پر چلنا فرض ہے۔
ہنر سیکھو۔,فن سیکھو۔
ہنسو۔,قہقہہ زن ہو۔
ہوا چل رہی ہے,سرگوشی میں راز کہہ رہی ہے
ہوا چل رہی ہے۔,چلتی ہے باد صبا آہستہ آہستہ۔
ہوا چل رہی ہے۔,بادِ صبا چلی، عجب سماں ہے۔
ہوا چل رہی ہے۔,باد صبا چل رہی ہے۔
ہوا درختوں کے پتوں کو ہلاتی ہے۔,بادِ صبا سے اشجار کے برگ و بار کا لرزنا
ہوا صاف ہونی چاہیے۔,ہوا ہو صاف و شفاف، یہ ہے صحت کی ضمانت۔
ہوا میں نمی ہے۔,ہوا میں نمی ہے۔
وادی حسین ہے۔,وادی حسین ہے۔
والدین کی خدمت کرو۔,والدین کی خدمت کرو۔
واہگہ بارڈر پر پرچم کشائی کی تقریب ہوتی ہے۔,واہگہ بارڈر پہ پرچم کشائی، حب الوطنی کی نشانی ہے تو
ورزش کرنا اچھی عادت ہے,صحت کے لیے ورزش ہے لازم
ورزش کرو۔,روزانہ ورزش کرو
ورزش کرو۔,ریاضت کرو۔
وطن جنت نشان ہے۔,وطن ہے جنت نشانِ میرا۔
وطن سے محبت ایمان ہے,حب الوطنی ہے ایمان کا حصہ
وطن عزیز ہے۔,وطن کی مٹی سے ہے پیار ہمارا
وطن کی مٹی سونا ہے۔,ارضِ وطن زرِ خالص ہے۔
وطن کی محبت ایمان کا حصہ ہے۔,حبِ وطن ہے جزوِ ایمان ہمارا۔
وطن کی محبت ایمان کا حصہ ہے۔,حب الوطنی ایمان کی علامت ہے۔
وطن کی محبت ایمان کی نشانی ہے۔,حبِ وطن ایمان کا حصہ ہے۔
وطن کی محبت ایمان کی نشانی ہے۔,حب الوطنی ہے ایمان کی جان۔
وطن کی محبت فرض ہے۔,حبِ وطن ہے فرض عین۔
وطن کی محبت فرض ہے۔,وطن کی محبت ایمان کی نشانی۔
