english,urdu,poetic_urdu
The wind is blowing,ہوا چل رہی ہے,قہقہہ زن ہو۔
The wind is blowing.,ہوا چل رہی ہے۔,سرگوشی میں راز کہہ رہی ہے
The wind is blowing.,ہوا چل رہی ہے۔,چلتی ہے باد صبا آہستہ آہستہ۔
The wind is blowing.,ہوا چل رہی ہے۔,بادِ صبا چلی، عجب سماں ہے۔
The wind moves the leaves of the trees.,ہوا درختوں کے پتوں کو ہلاتی ہے۔,باد صبا چل رہی ہے۔
The air should be clean.,ہوا صاف ہونی چاہیے۔,بادِ صبا سے اشجار کے برگ و بار کا لرزنا
There is moisture in the air.,ہوا میں نمی ہے۔,ہوا ہو صاف و شفاف، یہ ہے صحت کی ضمانت۔
Wadi Hussain.,وادی حسین ہے۔,ہوا میں نمی ہے۔
Serve parents.,والدین کی خدمت کرو۔,وادی حسین ہے۔
A flag hoisting ceremony takes place at the Wagah border.,واہگہ بارڈر پر پرچم کشائی کی تقریب ہوتی ہے۔,والدین کی خدمت کرو۔
Exercise is a good habit,ورزش کرنا اچھی عادت ہے,واہگہ بارڈر پہ پرچم کشائی، حب الوطنی کی نشانی ہے تو
Do exercise.,ورزش کرو۔,صحت کے لیے ورزش ہے لازم
Do exercise.,ورزش کرو۔,روزانہ ورزش کرو
Homeland is a sign of paradise.,وطن جنت نشان ہے۔,ریاضت کرو۔
Love for country is faith,وطن سے محبت ایمان ہے,وطن ہے جنت نشانِ میرا۔
The country is dear.,وطن عزیز ہے۔,حب الوطنی ہے ایمان کا حصہ
The soil of the homeland is gold.,وطن کی مٹی سونا ہے۔,وطن کی مٹی سے ہے پیار ہمارا
Love of country is part of faith.,وطن کی محبت ایمان کا حصہ ہے۔,ارضِ وطن زرِ خالص ہے۔
Love of country is part of faith.,وطن کی محبت ایمان کا حصہ ہے۔,حبِ وطن ہے جزوِ ایمان ہمارا۔
Love of country is a sign of faith.,وطن کی محبت ایمان کی نشانی ہے۔,حب الوطنی ایمان کی علامت ہے۔
Love of country is a sign of faith.,وطن کی محبت ایمان کی نشانی ہے۔,حبِ وطن ایمان کا حصہ ہے۔
Love of country is a duty.,وطن کی محبت فرض ہے۔,حب الوطنی ہے ایمان کی جان۔
Love of country is a duty.,وطن کی محبت فرض ہے۔,حبِ وطن ہے فرض عین۔
Fulfill the promise.,وعدہ پورا کرو۔,وطن کی محبت ایمان کی نشانی۔
Fulfill the promise.,وعدہ پورا کرو۔,اپنے وعدے کا پاس رکھو
Don't break a promise.,وعدہ نہ توڑو۔,وعدہ توڑنا بری بات ہے
Keep the promise,وعدہ وفا کرو,عہد شکنی نہ کرو۔
Keep the promise.,وعدہ وفا کرو۔,عہد اپنا نبھاؤ
Time is very precious.,وقت بہت قیمتی ہے۔,عہد پورا کرو۔
Time is very precious.,وقت بہت قیمتی ہے۔,وقت کی قدر کرو، ہے یہ انمول رتن۔
Go to sleep on time.,وقت پر سو جاؤ۔,وقت ہے انمول خزانہ جانِ جہاں۔
Time passes quickly.,وقت تیزی سے گزرتا ہے۔,رات کو جلدی سو جاؤ
Time is the greatest salve.,وقت سب سے بڑا مرہم ہے۔,وقت کی رفتار، لمحوں میں صدیوں کا سفر
Time is precious.,وقت قیمتی ہے۔,وقت ہے سب سے بڑا مرہم۔
Time is precious.,وقت قیمتی ہے۔,وقت گرانمایہ ہے۔
Time is precious.,وقت قیمتی ہے۔,وقت کو ضائع نہیں کرنا چاہیے
Time never stops.,وقت کبھی نہیں رکتا۔,وقت کی قدر کرو یہ ہے انمول خزانہ۔
Time never stops.,وقت کبھی نہیں رکتا۔,کاروانِ وقت رواں دواں ہے۔
Time waits for no one,وقت کسی کا انتظار نہیں کرتا,وقت کی روانی ہے، نہ ٹھہرے نہ رُکے
Time waits for no one.,وقت کسی کا انتظار نہیں کرتا۔,وقت کی رفتار ہے تیز کوئی نہیں جانتا
Time waits for no one.,وقت کسی کا انتظار نہیں کرتا۔,رَواں دواں ہے کارواںِ وقت پیہم۔
Time waits for no one.,وقت کسی کا انتظار نہیں کرتا۔,گردشِ ایام ہے رواں بے نیازِ منتظر۔
Time waits for no one.,وقت کسی کا انتظار نہیں کرتا۔,وقت کی رفتار ہے تیز روانی۔
Time waits for no one.,وقت کسی کا انتظار نہیں کرتا۔,وقت کی روانی کسی کا انتظار نہیں کرتی۔
Time waits for no one.,وقت کسی کا انتظار نہیں کرتا۔,وقت کی روانی ہے بے پایاں، نہ ٹھہرے کسی کے لیے۔
Time waits for no one.,وقت کسی کا انتظار نہیں کرتا۔,وقت کی روانی ہے بے تاب۔
Time waits for no one.,وقت کسی کا انتظار نہیں کرتا۔,وقت کی روانی ہے بے کراں۔
Time waits for no one.,وقت کسی کا انتظار نہیں کرتا۔,وقت کی روانی ہے دریا، نہ ٹھہرے کسی کے لیے
Time waits for no one.,وقت کسی کا انتظار نہیں کرتا۔,وقت کی روانی ہے کس کو کہاں فرصت۔
Time waits for no one.,وقت کسی کا انتظار نہیں کرتا۔,کاروانِ وقت رواں دواں ہے بے اماں۔
Time waits for no one.,وقت کسی کا انتظار نہیں کرتا۔,وقت دریا ہے رواں دواں ہر دم۔
Time waits for no one.,وقت کسی کا انتظار نہیں کرتا۔,وقت کی روانی کسی کی منتظر نہیں۔
Value time,وقت کی قدر کرو,وقت کی رفتار ہے جاری، نہ ٹھہرے کسی کے لیے۔
Value time.,وقت کی قدر کرو۔,وقت کو غنیمت جانو
Time passes.,وقت گزر جاتا ہے۔,وقت کی قدر کرو، یہ ہے کامیابی کا راز۔
Time is passing.,وقت گزر رہا ہے۔,وقت گزر جاتا ہے۔
Time is passing.,وقت گزر رہا ہے۔,وقت پر لگا کر اڑ رہا ہے۔
Time goes on.,وقت گزرتا رہتا ہے۔,وقت کی روانی ہے جاری، زندگی رواں ہے۔
Time goes on.,وقت گزرتا رہتا ہے۔,وقت کی روانی ہے دریا کی طرح
That's eight seconds.,وہ آٹھ سیکنڈ ہیں۔,گردشِ ایام جاری ہے۔
That's eight hours.,وہ آٹھ گھنٹے ہیں۔,وہ آٹھ لمحے ہیں۔
That's eight minutes.,وہ آٹھ منٹ ہیں۔,وہ آٹھ ساعات ہیں۔
They are eight.,وہ آٹھ ہیں۔,وہ آٹھ دقائق ہیں۔
It is the eighth day.,وہ آٹھواں دن ہے۔,وہ آٹھ ہیں۔
That is the end.,وہ آخر ہے۔,وہ روزِ ہشتم ہے۔
That is April.,وہ اپریل ہے۔,وہ آخر ہے۔
He is reading newspaper.,وہ اخبار پڑھ رہا ہے۔,وہ ماہِ اپریل ہے۔
He is sad.,وہ اداس ہے۔,وہ مطالعہ کر رہا ہے اخبار کا۔
He is an actor.,وہ اداکار ہیں۔,وہ اداس ہے۔
He is a teacher.,وہ استاد ہیں۔,وہ اداکار ہیں۔
He is going to school.,وہ اسکول جا رہا ہے۔,وہ معلم ہیں۔
That is October.,وہ اکتوبر ہے۔,علم کی جستجو میں ہے وہ رواں دواں۔
That is August.,وہ اگست ہے۔,یہ ماہِ اکتوبر ہے۔
He is a good teacher,وہ ایک اچھا استاد ہے,وہ ماہِ اگست ہے۔
He is a good teacher.,وہ ایک اچھا استاد ہے۔,وہ معلم ہے شفیق اور علم کا شناور
He is a good teacher.,وہ ایک اچھا استاد ہے۔,علم کا وہ پیکر، رہبر ہے زمانے کا۔
He is a good friend.,وہ ایک اچھا دوست ہے۔,ہے وہ معلم، علم کا اک بحرِ بیکراں۔
He is a good student.,وہ ایک اچھا طالب علم ہے۔,وہ ہے رفیقِ جاں، یارِ غمگسار میرا۔
She is a good singer.,وہ ایک اچھی گلوکارہ ہے۔,وہ علم کا ایک روشن ستارہ ہے۔
She is singing a beautiful song,وہ ایک خوبصورت گانا گا رہی ہے,نغمہ گر ہے وہ، سُروں کی شہزادی ہے۔
He is an intelligent student.,وہ ایک ذہین طالب علم ہے۔,وہ نغمہ سرا ہے، بزم میں جیسے ہو گلستاں
He is a diligent student.,وہ ایک محنتی طالب علم ہے۔,ہے وہ گوہرِ نایاب دبستانِ علم میں۔
He is honest.,وہ ایماندار ہے۔,علم کی جستجو میں وہ شب و روز رواں ہے۔
He is left.,وہ بائیں ہے۔,وہ دیانت دار ہے۔
They are kings.,وہ بادشاہ ہیں۔,وہ بائیں ہے۔
She is looking at the flowers in the garden.,وہ باغ میں پھول دیکھ رہی ہے۔,وہ بادشاہ ہیں۔
That is the garden.,وہ باغ ہے۔,گلشن میں وہ محوِ نظارہ ہے، کیا خوب نظارہ ہے۔
He is out.,وہ باہر ہے۔,وہ ہے گلشن۔
He is ugly.,وہ بدصورت ہے۔,وہ باہر ہے۔
He is evil.,وہ برا ہے۔,وہ بدصورت ہے۔
He forgets.,وہ بھول جاتا ہے۔,وہ برا ہے۔
He is brave.,وہ بہادر ہے۔,وہ بھول جاتا ہے۔
He sings very well.,وہ بہت اچھا گاتا ہے۔,وہ دلیر ہے۔
He is very intelligent,وہ بہت ذہین ہے,نغمہ سرا ہے وہ، کیا خوش گلو ہے۔
He is very hardworking.,وہ بہت محنتی ہے۔,اس کی فکر رسا ہے اور ذہن روشن
He sells.,وہ بیچتا ہے۔,جانفشانی اس کی ہے ضرب المثل۔
He is sick.,وہ بیمار ہے۔,وہ بیچتا ہے۔
He is a banker.,وہ بینکر ہیں۔,وہ بیمار ہے۔
They are playing in the park.,وہ پارک میں کھیل رہے ہیں۔,وہ بینکر ہیں۔
He is drinking water.,وہ پانی پی رہا ہے۔,گلشن میں بچے کھیلتے ہیں شاد۔
He is old.,وہ پرانا ہے۔,وہ آبِ شیریں سے سیراب ہو رہا ہے۔
He is studying.,وہ پڑھ رہا ہے۔,وہ پرانا ہے۔
That is the mountain.,وہ پہاڑ ہے۔,وہ مطالعہ میں غرق ہے۔
He is a plant.,وہ پودا ہے۔,وہ ہے کوہ۔
They are policemen.,وہ پولیس والے ہیں۔,وہ ہے نہال۔
He is behind.,وہ پیچھے ہے۔,وہ شرطے ہیں۔
He is cool.,وہ ٹھنڈا ہے۔,وہ پیچھے ہے۔
That is Thursday.,وہ جمعرات ہے۔,وہ ٹھنڈا ہے۔
That is war.,وہ جنگ ہے۔,وہ روزِ پنج شنبہ ہے۔
He is June.,وہ جون ہے۔,وہ جنگ ہے۔
That's four seconds.,وہ چار سیکنڈ ہیں۔,وہ ماہِ جون ہے۔
That's four hours.,وہ چار گھنٹے ہیں۔,وہ چار لمحے ہیں۔
That's four minutes.,وہ چار منٹ ہیں۔,وہ چار ساعات ہیں۔
They are four.,وہ چار ہیں۔,وہ چار دقائق ہیں۔
That's six seconds.,وہ چھ سیکنڈ ہیں۔,وہ چار ہیں۔
That's six hours.,وہ چھ گھنٹے ہیں۔,وہ چھ لمحے ہیں۔
That's six minutes.,وہ چھ منٹ ہیں۔,وہ چھ ساعات ہیں۔
They are six.,وہ چھ ہیں۔,وہ چھ دقائق ہیں۔
That is the roof.,وہ چھت ہے۔,وہ چھ ہیں۔
It is the sixth day.,وہ چھٹا دن ہے۔,وہ ہے چھت۔
He is short.,وہ چھوٹا ہے۔,وہ روزِ ششم ہے۔
It is the fourth day.,وہ چوتھا دن ہے۔,وہ چھوٹا ہے۔
It is empty.,وہ خالی ہے۔,وہ روزِ چہارم ہے۔
He is writing a letter.,وہ خط لکھ رہا ہے۔,وہ خالی ہے۔
That is the river.,وہ دریا ہے۔,وہ رقم کر رہا ہے خط۔
That's ten seconds.,وہ دس سیکنڈ ہیں۔,وہ ہے دریا۔
That's ten hours.,وہ دس گھنٹے ہیں۔,وہ دس لمحے ہیں۔
That's ten minutes.,وہ دس منٹ ہیں۔,وہ دس ساعات ہیں۔
They are ten.,وہ دس ہیں۔,وہ دس دقائق ہیں۔
It is December.,وہ دسمبر ہے۔,وہ دس ہیں۔
That is the tenth day.,وہ دسواں دن ہے۔,یہ ماہِ دسمبر ہے۔
That's two seconds.,وہ دو سیکنڈ ہیں۔,وہ روزِ دہم ہے۔
That's two hours.,وہ دو گھنٹے ہیں۔,وہ دو لمحے ہیں۔
That's two minutes.,وہ دو منٹ ہیں۔,وہ دو ساعات ہیں۔
They are two.,وہ دو ہیں۔,وہ دو دقائق ہیں۔
It is noon.,وہ دوپہر ہے۔,وہ دو ہیں۔
He is away.,وہ دور ہے۔,وہ دوپہر ہے۔
It is the second day.,وہ دوسرا دن ہے۔,وہ دور ہے۔
He is intelligent.,وہ ذہین ہے۔,وہ روزِ دوم ہے۔
He is the director.,وہ ڈائریکٹر ہیں۔,وہ فطین ہے۔
It is night.,وہ رات ہے۔,وہ ڈائریکٹر ہیں۔
He is merciful.,وہ رحم دل ہے۔,وہ رات ہے۔
He is crying,وہ رو رہا ہے,وہ شفیق ہے۔
He is a mathematician.,وہ ریاضی دان ہیں۔,غم نے آنکھوں میں گھر بنایا ہے
That is the radio.,وہ ریڈیو ہے۔,وہ ریاضی دان ہیں۔
He is lazy.,وہ سست ہے۔,وہ ہے صوتی نشریاتی۔
He is teaching,وہ سکھا رہا ہے,وہ سست ہے۔
He goes to school.,وہ سکول جاتا ہے۔,روشنی بانٹ رہا ہے
He listens.,وہ سنتا ہے۔,وہ بزمِ علم کی جانب رواں دواں ہے
He is sleeping,وہ سو رہا ہے,وہ سنتا ہے۔
He is sleeping.,وہ سو رہا ہے۔,سکون کی نیند میں ڈوبا ہوا ہے
He is sleeping.,وہ سو رہا ہے۔,وہ بسترِ راحت پہ محوِ خواب ہے۔
He thinks.,وہ سوچتا ہے۔,وہ محوِ خواب ہے۔
He is the prince.,وہ شہزادہ ہیں۔,وہ سوچتا ہے۔
That is the desert.,وہ صحرا ہے۔,وہ شہزادہ ہیں۔
He is a scholar.,وہ عالم ہیں۔,وہ ہے صحرا۔
He is poor.,وہ غریب ہے۔,وہ عالم ہیں۔
He is wrong.,وہ غلط ہے۔,وہ غریب ہے۔
That is grief.,وہ غم ہے۔,وہ غلط ہے۔
He is finished.,وہ فارغ ہے۔,وہ الم ہے۔
